"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @moodynblue: The perspective is staggering. 
#ParadisePapers https://t.co/bTdwUCZHQJ",FALSE,0,NA,2017-11-08 10:13:49,FALSE,NA,"928203901622521856",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","David_on_a_bike",746,TRUE,FALSE,NA,NA
"2","Má podle vás #EU možnosti, jak zabránit praxi vyhýbání se placení daní, na kterou upozornují #ParadisePapers? FB:… https://t.co/QRya34cHG1",FALSE,0,NA,2017-11-08 10:13:48,TRUE,NA,"928203896119545856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CRoPlus",0,FALSE,FALSE,NA,NA
"3","RT @VonBismarckII: Una cosa, son los #PanamaPapers y otra #ParadisePapers , pero ellos Brindan doble...próximamente, plácidamente, en Londr…",FALSE,0,NA,2017-11-08 10:13:45,FALSE,NA,"928203883637362688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","335iMSport",1,TRUE,FALSE,NA,NA
"4","RT @JLMelenchon: #ParadisePapers : 5 propositions contre l'évasion fiscale. https://t.co/Z8bBJWHg7i",FALSE,0,NA,2017-11-08 10:13:44,FALSE,NA,"928203878595735552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Brancquart2",861,TRUE,FALSE,NA,NA
"5","RT @b_obermayer: My boss wrote an angry open letter to Apple boss Tim Cook - and you really should read this. Really. #ParadisePapers https…",FALSE,0,NA,2017-11-08 10:13:44,FALSE,NA,"928203877245243392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jj_berthier",118,TRUE,FALSE,NA,NA
"6","RT @justeconomics: #ParadisePapers Ireland short 10 bill a year tax revenue every year for health, mental health, homeless services-rich no…",FALSE,0,NA,2017-11-08 10:13:43,FALSE,NA,"928203874309156865",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","SaraORke",42,TRUE,FALSE,NA,NA
"7","RT @b_obermayer: Probably our single most important story of the #paradisepapers - &amp; the one we put the most work in. And our lawyers https…",FALSE,0,NA,2017-11-08 10:13:41,FALSE,NA,"928203864754606082",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alexandra_vlada",350,TRUE,FALSE,NA,NA
"8","RT @France2tv: Si Twitter c'est maintenant #280characters, #ParadisePapers c'est 13,5 millions de documents analysés et des révélations sur…",FALSE,0,NA,2017-11-08 10:13:40,FALSE,NA,"928203860660903937",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","zwetan",49,TRUE,FALSE,NA,NA
"9","1 manoir, 2 yachts, 6 paradis fiscaux, 8 cabinets de conseil : voilà le patrimoine offshore de Bernard Arnault que… https://t.co/Fv2rAHTcrQ",FALSE,1,NA,2017-11-08 10:13:39,TRUE,NA,"928203857955614720",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","mvaudano",0,FALSE,FALSE,NA,NA
"10","RT @GLove39: Siri, show me a visual metaphor for tax avoidance
#ParadisePapers https://t.co/wVdSy7QtMZ",FALSE,0,NA,2017-11-08 10:13:38,FALSE,NA,"928203854516121601",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bellfrell",44979,TRUE,FALSE,NA,NA
"11","RT @cashinvestigati: #ParadisePapers: @cashinvestigation s’envole vers le paradis… fiscal ! REGARDEZ documentaire @edperrin @SlnPtn
https:/…",FALSE,0,NA,2017-11-08 10:13:38,FALSE,NA,"928203853178294273",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Clairemonde99",75,TRUE,FALSE,NA,NA
"12","Newly announced! Join the Thomson Reuters Risk webinar on Thursday (9th Nov) to understand the impact of the… https://t.co/Lm8GtaQIAE",FALSE,0,NA,2017-11-08 10:13:37,TRUE,NA,"928203849072021505",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HemmoWMartin",0,FALSE,FALSE,NA,NA
"13","RT @Rachael_Swindon: John McDonnell has got this absolutely spot on. Please retweet this if you agree with him. #ParadisePapers https://t.c…",FALSE,0,NA,2017-11-08 10:13:37,FALSE,NA,"928203848921042944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MoPorter3",1105,TRUE,FALSE,NA,NA
"14","RT @Zarkwan: Meanwhile, #ParadisePapers? What #ParadisePapers? Nothing to see here. Move along. https://t.co/jo3ianV1wK",FALSE,0,NA,2017-11-08 10:13:37,FALSE,NA,"928203847549538304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Sneekyboy",1,TRUE,FALSE,NA,NA
"15","@vestager  kan du hjælpe os med at forstå hvorfor EU vil gøre det nemmere at straffe whistleblowere ?… https://t.co/BiLpKkFObY",FALSE,0,"vestager",2017-11-08 10:13:36,TRUE,NA,"928203845758537729","19232649","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PGSpecialAgent",0,FALSE,FALSE,NA,NA
"16","RT @DerbyChrisW: Ahh tax avoidance... isn't that just the sign of a normal, healthy society? #ParadisePapers https://t.co/3QDFRIBkVa",FALSE,0,NA,2017-11-08 10:13:36,FALSE,NA,"928203845225852930",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jons_dog1",254,TRUE,FALSE,NA,NA
"17","RT @KOPRITHS: <U+039A><U+0391>T<U+0391><U+03A1><U+0395>S <U+039A><U+039F><U+03A5><U+0392><U+0395><U+039D><U+03A4><U+0395>S!
#mareva_gate
#ParadisePapers https://t.co/pdxNLAqOg2",FALSE,0,NA,2017-11-08 10:13:36,FALSE,NA,"928203843212627968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TikasLuis",37,TRUE,FALSE,NA,NA
"18","RT @Rachael_Swindon: John McDonnell has got this absolutely spot on. Please retweet this if you agree with him. #ParadisePapers https://t.c…",FALSE,0,NA,2017-11-08 10:13:34,FALSE,NA,"928203837709672449",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ptjbarroso",1105,TRUE,FALSE,NA,NA
"19","#ParadisePapers Los registros de un escondite en el extranjero muestran
cómo un multimillonario estadounidense... https://t.co/rLDiT5oono",FALSE,0,NA,2017-11-08 10:13:34,FALSE,NA,"928203837306961921",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Pepe_Fdez",0,FALSE,FALSE,NA,NA
"20","RT @JamesMelville: Man of the people? #paradisepapers https://t.co/1mh7knru08",FALSE,0,NA,2017-11-08 10:13:33,FALSE,NA,"928203832487698434",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","half98",1451,TRUE,FALSE,NA,NA
"21","RT @DerbyChrisW: Ahh tax avoidance... isn't that just the sign of a normal, healthy society? #ParadisePapers https://t.co/3QDFRIBkVa",FALSE,0,NA,2017-11-08 10:13:33,FALSE,NA,"928203831959347200",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","John4HippO",254,TRUE,FALSE,NA,NA
"22","RT @halconada: #ParadisePapers: Aranguren fue director de dos offshore de Shell; años después, una de ellas ganó 13 licitaciones: https://t…",FALSE,0,NA,2017-11-08 10:13:32,FALSE,NA,"928203828591243265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Luqui77",1119,TRUE,FALSE,NA,NA
"23","RT @QuentinDelorme: Bien hâte de lire l'enquête de @LesEchos !
« #ParadisePapers » : révélations sur le patrimoine offshore de Bernard #Arn…",FALSE,0,NA,2017-11-08 10:13:31,FALSE,NA,"928203823100899330",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","grebert",1,TRUE,FALSE,NA,NA
"24","RT @AlertesInfos: <ed><U+00A0><U+00BD><ed><U+00B4><U+00B4>Le réalisateur Jean-Jacques Annaud (7 ans au Tibet) a caché 1,5 million $ au fisc français. #ParadisePapers https://t.co…",FALSE,0,NA,2017-11-08 10:13:30,FALSE,NA,"928203820672397312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Entheosias",29,TRUE,FALSE,NA,NA
"25","#ParadisePapers reveal #schemes used to #avoidtax on #UKproperty deals: #privateequity firm able to buy and sell pr… https://t.co/vho5dDEfR7",FALSE,0,NA,2017-11-08 10:13:28,TRUE,NA,"928203810467602432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CsAtlantis87",0,FALSE,FALSE,NA,NA
"26","RT @removereservat: #paradiseleaks 
#paradisepapers 
<U+091C><U+093E><U+0928><U+0947> <U+0924><U+0928> <U+092E><U+0928> <U+0927><U+0928> <U+0915><U+0947><U+0935><U+0932> <U+0914><U+0930> <U+0915><U+0947><U+0935><U+0932> <U+0915><U+092C><U+0940><U+0930> <U+092D><U+0917><U+0935><U+093E><U+0928> <U+0915><U+0947> <U+0928><U+093E><U+092E> <U+0939><U+094B> 
<U+092C><U+093E><U+0915><U+0940> <U+0938><U+092C> <U+092C><U+0926><U+0928><U+093E><U+092E><U+0940> <U+092D><U+0930><U+093E> <U+0939><U+0948> 
https://t.co/Z…",FALSE,0,NA,2017-11-08 10:13:27,FALSE,NA,"928203809222021121",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vivek1968us",790,TRUE,FALSE,NA,NA
"27","RT @ccarafyl: - <U+039A><U+03C5><U+03C1><U+03B9><U+03AC><U+03BA><U+03BF> p<U+03C9><U+03C2> e<U+03AF><U+03BD>a<U+03B9> <U+03BF> <U+03BA>af<U+03AD><U+03C2> ;
- <U+039A>a<U+03AF>e<U+03B9> µa<U+03BD>
#ParadisePapers https://t.co/pkUqGDohYE",FALSE,0,NA,2017-11-08 10:13:27,FALSE,NA,"928203805367455744",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","6YgoxpuVOEVRkZv",60,TRUE,FALSE,NA,NA
"28","RT @Lies_Breaker: <ed><U+00A0><U+00BD><ed><U+00B4><U+00B4><ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00B1>#ParadisePapers : #DanGertler le Monsieur Afrique d’israël ou comment l’État hébreu pille le continent Africain. Merci…",FALSE,0,NA,2017-11-08 10:13:26,FALSE,NA,"928203801152106497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Makavel37167771",85,TRUE,FALSE,NA,NA
"29","RT @cumhuriyetgzt: #ParadisePapers Belgeler Binali Yildirim'i dogrulamadi... Hani devlet ihalesi almamislardi? https://t.co/J0QtJSYUnX http…",FALSE,0,NA,2017-11-08 10:13:25,FALSE,NA,"928203800099414016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","A_u_r_A",28,TRUE,FALSE,NA,NA
"30","RT @VictoriaLIVE: Dame @margarethodge calls for greater transparency from Duchy of Cornwall amid ""embarrassing"" #ParadisePapers leak https:…",FALSE,0,NA,2017-11-08 10:13:24,FALSE,NA,"928203795292618754",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BBCNews",1,TRUE,FALSE,NA,NA
"31","RT @avec_marine: #ParadisePapers : Madonna, Bono, Dassault, Uber, tous proches de Macron et épinglés par l’affaire. 

Le monde de la financ…",FALSE,0,NA,2017-11-08 10:13:24,FALSE,NA,"928203792851533824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Brendanm1",31,TRUE,FALSE,NA,NA
"32","RT @JamesMelville: Man of the people? #paradisepapers https://t.co/1mh7knru08",FALSE,0,NA,2017-11-08 10:13:23,FALSE,NA,"928203791396163584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KatheB1952",1451,TRUE,FALSE,NA,NA
"33","RT @GillesKLEIN: <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> #ParadisePapers : révélations sur le patrimoine offshore de Bernard Arnault, première fortune de France (Le Monde) http…",FALSE,0,NA,2017-11-08 10:13:23,FALSE,NA,"928203791165542400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ollivier_yves",2,TRUE,FALSE,NA,NA
"34","RT @JamesMelville: Perspective.
#Panorama #ParadisePapers #ParadiseLeak https://t.co/eJPMzrK3Sj",FALSE,0,NA,2017-11-08 10:13:23,FALSE,NA,"928203790385401856",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","anatsuno",3019,TRUE,FALSE,NA,NA
"35","RT @MissStAnger: #ParadisePapers knapp erklärt.
#nurechtmit140Zeichen https://t.co/sYj8PhUVnO",FALSE,0,NA,2017-11-08 10:13:22,FALSE,NA,"928203788091052033",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gu3nni",48,TRUE,FALSE,NA,NA
"36","RT @NTM_FN: Tous les amendements contre la fraude fiscale ont été rejetés. Indécent ! #cashinvestigation #ParadisePapers https://t.co/5qtAZ…",FALSE,0,NA,2017-11-08 10:13:22,FALSE,NA,"928203787923263489",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ant_Lopez_P",88,TRUE,FALSE,NA,NA
"37","@Ian_Fraser @nickshaxson In this case Capone is the consigliere #ParadisePapers",FALSE,0,"Ian_Fraser",2017-11-08 10:13:21,FALSE,"928202897610899457","928203782386831365","93618872","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","melspence2",0,FALSE,FALSE,NA,NA
"38","Read Offshore Tax Matters <U+25B8> today's top stories via  #paradisepapers #news #FiosTax #OTHC https://t.co/pTB0ItlL1R",FALSE,0,NA,2017-11-08 10:13:19,FALSE,NA,"928203775541760000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FiosTax",0,FALSE,FALSE,NA,NA
"39","RT @BBCNews: #ParadisePapers: Prince Charles lobbied on climate policy after shares purchase https://t.co/YyidYiJ3pw https://t.co/7i2yavzJlJ",FALSE,0,NA,2017-11-08 10:13:19,FALSE,NA,"928203774421819392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pauldelaney2012",271,TRUE,FALSE,NA,NA
"40","#ParadisePapers Los registros de un escondite en el extranjero muestran
cómo un multimillonario estadounidense creó… https://t.co/XqnIyxci4M",FALSE,0,NA,2017-11-08 10:13:18,TRUE,NA,"928203768260374528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Pepe_Fdez",0,FALSE,FALSE,NA,NA
"41","RT @PTBlachambre: #ParadisePapers : l'État belge est impliqué, et, encore une fois, le cabinet @dreynders est de la partie. Le PTB demande…",FALSE,0,NA,2017-11-08 10:13:17,FALSE,NA,"928203763856412673",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gracchus56",15,TRUE,FALSE,NA,NA
